antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
micromotion/f4-5c-89-92-6c-8d/10;illuminance/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/1,0.03917812989726624,0.05942016367752046,0.03839456729932091,0.98,16.49271794871795,0.03606659640824619,47.028991816123934
micromotion/f4-5c-89-92-6c-8d/13;illuminance/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/1,0.039265192408149054,0.05942016367752046,0.0364356608044576,0.9279379157427937,15.61654930435418,0.03410251664473605,13.052354036351934
micromotion/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1;illuminance/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/13,0.03839456729932091,0.11017760752220095,0.03495559811944977,0.9104308390022676,8.263301949253295,0.030725376552560458,9.93447278690404
micromotion/f4-5c-89-92-6c-8d/10;illuminance/f4-5c-89-92-6c-8d/1;micromotion/f4-5c-89-92-6c-8d/13,micromotion/f4-5c-89-92-6c-8d/1,0.03569562946195368,0.05942016367752046,0.03495559811944977,0.9792682926829269,16.48040382381846,0.032834557974248356,45.36914504614333
micromotion/f4-5c-89-92-6c-8d/13;micromotion/f4-5c-89-92-6c-8d/1;illuminance/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/10,0.0364356608044576,0.06747344593418074,0.03495559811944977,0.9593787335722821,14.21861178556288,0.03249715853008405,22.956609580973332
micromotion/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/13,0.04975622496952812,0.11017760752220095,0.04601253700156713,0.9247594050743658,8.393351660753982,0.04053051517508813,11.826360402350302
micromotion/f4-5c-89-92-6c-8d/13;micromotion/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/10,0.047579662197457774,0.06747344593418074,0.04601253700156713,0.9670631290027448,14.33249948351681,0.04280217323672038,28.31254232205398
illuminance/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/10,0.03051541006442626,0.06747344593418074,0.030428347553543445,0.9971469329529243,14.778360866964244,0.028369367682402023,326.8505572000631
illuminance/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/13,0.03051541006442626,0.11017760752220095,0.028425909803238725,0.9315263908701854,8.454770545661754,0.02506379492978135,12.995114523477849
micromotion/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1;illuminance/f4-5c-89-92-6c-8d/10,micromotion/f4-5c-89-92-6c-8d/13,0.030428347553543445,0.11017760752220095,0.028425909803238725,0.9341917024320457,8.478961591572087,0.025073387268935293,13.521431572651766
illuminance/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1;micromotion/f4-5c-89-92-6c-8d/13,micromotion/f4-5c-89-92-6c-8d/10,0.028425909803238725,0.06747344593418074,0.028425909803238725,1.0,14.820645161290322,0.026507915714999997,inf
illuminance/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/13,0.03051541006442626,0.06290266411283302,0.028425909803238725,0.9315263908701854,14.809013322539721,0.026506409213690754,13.685525676185494
micromotion/f4-5c-89-92-6c-8d/10;illuminance/f4-5c-89-92-6c-8d/1;illuminance/f4-5c-89-92-6c-8d/10,micromotion/f4-5c-89-92-6c-8d/1,0.027555284694410587,0.05942016367752046,0.026902315862789482,0.976303317535545,16.43050535562384,0.02526497633606693,39.6924690928086
illuminance/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1;illuminance/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/10,0.026902315862789482,0.06747344593418074,0.026902315862789482,1.0,14.820645161290322,0.025087123907917303,inf
illuminance/f4-5c-89-92-6c-8d/10;micromotion/f4-5c-89-92-6c-8d/1;illuminance/f4-5c-89-92-6c-8d/1,micromotion/f4-5c-89-92-6c-8d/13,0.026902315862789482,0.11017760752220095,0.024899878112484765,0.9255663430420713,8.400675635070115,0.021935845313916066,11.95457040328871
illuminance/f4-5c-89-92-6c-8d/10;illuminance/f4-5c-89-92-6c-8d/1;micromotion/f4-5c-89-92-6c-8d/13,micromotion/f4-5c-89-92-6c-8d/1,0.026728190841023854,0.05942016367752046,0.024899878112484765,0.9315960912052118,15.678113851403754,0.023311684637907126,13.75038141671436
